PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME
Day Type 1;H_Depot;8801;928635;Revenue;88K;KTEL_H;Def;9396012;17974198;N34166;OSETH;Def;N15077;OSETH;Def;07:10:00;08:00:00;
Day Type 1;H_Depot;8801;928635;Revenue;88;KTEL_H;Def;9396026;17974264;N15077;OSETH;Def;N34166;OSETH;Def;08:10:00;08:58:00;
Day Type 1;H_Depot;8801;928635;Revenue;88K;KTEL_H;Def;9395984;17974084;N34166;OSETH;Def;N15077;OSETH;Def;09:00:00;09:50:00;
Day Type 1;H_Depot;8801;928635;Revenue;88B;KTEL_H;Def;9395941;17973894;N15077;OSETH;Def;N15077;OSETH;Def;09:55:00;10:55:00;
Day Type 1;H_Depot;8801;928635;Revenue;88H;KTEL_H;Def;9395977;17974048;N15077;OSETH;Def;N34087;OSETH;Def;11:15:00;12:20:00;
Day Type 1;H_Depot;8801;928635;Revenue;88E;KTEL_H;Def;9395944;17973902;N34087;OSETH;Def;N15077;OSETH;Def;12:25:00;13:35:00;
Day Type 1;H_Depot;8801;928635;Revenue;88M;KTEL_H;Def;9396022;17974234;N15077;OSETH;Def;N34166;OSETH;Def;15:35:00;16:33:00;
Day Type 1;H_Depot;8801;928635;Revenue;88K;KTEL_H;Def;9396020;17974224;N34166;OSETH;Def;N15077;OSETH;Def;16:35:00;17:25:00;
Day Type 1;H_Depot;8801;928635;Revenue;88A;KTEL_H;Def;9395974;17974028;N15077;OSETH;Def;N15077;OSETH;Def;17:35:00;18:35:00;
Day Type 1;H_Depot;8801;928635;Revenue;88B;KTEL_H;Def;9395927;17973828;N15077;OSETH;Def;N15077;OSETH;Def;18:55:00;19:55:00;
Day Type 1;H_Depot;8801;928635;Revenue;88K;KTEL_H;Def;9395920;17973792;N15077;OSETH;Def;N34166;OSETH;Def;20:00:00;20:48:00;
Day Type 1;H_Depot;8801;928635;Revenue;88;KTEL_H;Def;9395947;17973920;N34166;OSETH;Def;N15077;OSETH;Def;20:50:00;21:40:00;
Day Type 1;H_Depot;8801;928635;Revenue;88;KTEL_H;Def;9395980;17974066;N15077;OSETH;Def;N34166;OSETH;Def;21:45:00;22:33:00;
Day Type 1;H_Depot;8801;928635;Revenue;88K;KTEL_H;Def;9395942;17973898;N34166;OSETH;Def;N15077;OSETH;Def;22:35:00;23:25:00;
Day Type 1;H_Depot;8801;928635;Revenue;88K;KTEL_H;Def;9396030;17974282;N15077;OSETH;Def;N34166;OSETH;Def;23:45:00;24:30:00;
Day Type 1;H_Depot;8801;928635;DeadHead;;;;;;N34166;OSETH;Def;H_Depot;KTEL_H;Def;24:30:00;24:31:00;
Day Type 1;H_Depot;8802;928636;Revenue;88;KTEL_H;Def;9395951;17973948;N15077;OSETH;Def;N34166;OSETH;Def;05:10:00;05:58:00;
Day Type 1;H_Depot;8802;928636;Revenue;88K;KTEL_H;Def;9396002;17974160;N34166;OSETH;Def;N15077;OSETH;Def;06:00:00;06:50:00;
Day Type 1;H_Depot;8802;928636;Revenue;88H;KTEL_H;Def;9396019;17974222;N15077;OSETH;Def;N34087;OSETH;Def;07:00:00;08:00:00;
Day Type 1;H_Depot;8802;928636;Revenue;88E;KTEL_H;Def;9395989;17974104;N34087;OSETH;Def;N15077;OSETH;Def;08:00:00;09:10:00;
Day Type 1;H_Depot;8802;928636;Revenue;88A;KTEL_H;Def;9395943;17973900;N15077;OSETH;Def;N15077;OSETH;Def;09:30:00;10:30:00;
Day Type 1;H_Depot;8802;928636;Revenue;88;KTEL_H;Def;9396036;17974308;N15077;OSETH;Def;N34166;OSETH;Def;10:50:00;11:38:00;
Day Type 1;H_Depot;8802;928636;Revenue;88K;KTEL_H;Def;9395990;17974110;N34166;OSETH;Def;N15077;OSETH;Def;11:40:00;12:30:00;
Day Type 1;H_Depot;8802;928636;Revenue;88B;KTEL_H;Def;9395987;17974094;N15077;OSETH;Def;N15077;OSETH;Def;12:35:00;13:35:00;
Day Type 1;H_Depot;8802;928636;Revenue;88H;KTEL_H;Def;9396027;17974266;N15077;OSETH;Def;N34087;OSETH;Def;14:10:00;15:15:00;
Day Type 1;H_Depot;8802;928636;Revenue;88E;KTEL_H;Def;9395979;17974058;N34087;OSETH;Def;N15077;OSETH;Def;15:20:00;16:30:00;
Day Type 1;H_Depot;8802;928636;Revenue;88E;KTEL_H;Def;9395958;17973968;N15077;OSETH;Def;N34087;OSETH;Def;16:35:00;17:40:00;
Day Type 1;H_Depot;8802;928636;Revenue;88;KTEL_H;Def;9395993;17974122;N15077;OSETH;Def;N34166;OSETH;Def;19:10:00;19:58:00;
Day Type 1;H_Depot;8802;928636;Revenue;88K;KTEL_H;Def;9395994;17974126;N34166;OSETH;Def;N15077;OSETH;Def;20:00:00;20:50:00;
Day Type 1;H_Depot;8802;928636;Revenue;88N;KTEL_H;Def;9395940;17973886;N15077;OSETH;Def;N34166;OSETH;Def;21:10:00;22:08:00;
Day Type 1;H_Depot;8802;928636;Revenue;88;KTEL_H;Def;9396028;17974270;N34166;OSETH;Def;N15077;OSETH;Def;22:10:00;23:00:00;
Day Type 1;H_Depot;8803;928637;Revenue;88K;KTEL_H;Def;9395999;17974154;N15077;OSETH;Def;N34166;OSETH;Def;05:45:00;06:33:00;
Day Type 1;H_Depot;8803;928637;Revenue;88M;KTEL_H;Def;9396038;17974312;N34166;OSETH;Def;N15077;OSETH;Def;06:35:00;07:35:00;
Day Type 1;H_Depot;8803;928637;Revenue;88B;KTEL_H;Def;9395967;17974002;N15077;OSETH;Def;N15077;OSETH;Def;07:40:00;08:40:00;
Day Type 1;H_Depot;8803;928637;Revenue;88H;KTEL_H;Def;9395915;17973772;N15077;OSETH;Def;N34087;OSETH;Def;08:45:00;09:50:00;
Day Type 1;H_Depot;8803;928637;Revenue;88E;KTEL_H;Def;9396017;17974212;N34087;OSETH;Def;N15077;OSETH;Def;09:55:00;11:05:00;
Day Type 1;H_Depot;8803;928637;Revenue;88;KTEL_H;Def;9395952;17973950;N15077;OSETH;Def;N34166;OSETH;Def;13:20:00;14:08:00;
Day Type 1;H_Depot;8803;928637;Revenue;88K;KTEL_H;Def;9396029;17974274;N34166;OSETH;Def;N15077;OSETH;Def;14:10:00;15:00:00;
Day Type 1;H_Depot;8803;928637;Revenue;88B;KTEL_H;Def;9395969;17974006;N15077;OSETH;Def;N15077;OSETH;Def;15:05:00;16:05:00;
Day Type 1;H_Depot;8803;928637;Revenue;88K;KTEL_H;Def;9395991;17974114;N15077;OSETH;Def;N34166;OSETH;Def;16:15:00;17:03:00;
Day Type 1;H_Depot;8803;928637;Revenue;88;KTEL_H;Def;9396001;17974158;N34166;OSETH;Def;N15077;OSETH;Def;17:05:00;17:55:00;
Day Type 1;H_Depot;8803;928637;Revenue;88H;KTEL_H;Def;9395972;17974014;N15077;OSETH;Def;N34087;OSETH;Def;18:10:00;19:08:00;
Day Type 1;H_Depot;8803;928637;Revenue;88E;KTEL_H;Def;9396035;17974306;N34087;OSETH;Def;N15077;OSETH;Def;19:10:00;20:15:00;
Day Type 1;H_Depot;8803;928637;Revenue;88E;KTEL_H;Def;9395938;17973872;N15077;OSETH;Def;N34087;OSETH;Def;20:35:00;21:33:00;
Day Type 1;H_Depot;8803;928637;Revenue;88B;KTEL_H;Def;9395956;17973964;N15077;OSETH;Def;N15077;OSETH;Def;22:40:00;23:35:00;
